p, q, AIC, BIC
1, 1, 1558.8415065327597, 1576.4292251536242
1, 2, 1405.4241222573087, 1427.4087705333893
1, 3, 1373.3935252847223, 1399.775103216019
1, 4, 1346.0038181548343, 1376.7823257413474
1, 5, 1320.4110039119669, 1355.5864411536961
1, 6, 1287.8703878128754, 1327.4427547098207
1, 7, 1274.017911190861, 1317.9872077430225
1, 8, 1275.9337179746074, 1324.299944181985
1, 9, 1263.6726828477215, 1316.4358387103152
2, 1, 1403.415631210606, 1425.4002794866867
2, 2, 1374.2684636536062, 1400.6500415849032
2, 3, 1380.867127092668, 1411.645634679181
2, 4, 1336.4911488009875, 1371.6665860427167
2, 5, 1272.6407976439577, 1312.213164540903
2, 6, 1272.3141040981423, 1316.2834006503037
2, 7, 1274.1672513869344, 1322.533477594312
2, 8, 1276.12780755576, 1328.8909634183537
2, 9, 1265.3406133281605, 1322.5006988459704
3, 1, 1260.2641150951374, 1286.6456930264344
3, 2, 1261.3484485431402, 1292.1269561296533
3, 3, 1262.6002666538734, 1297.7757038956026
3, 4, 1263.8100507882104, 1303.3824176851558
3, 5, 1264.6995293271866, 1308.668825879348
3, 6, 1264.7658859396633, 1313.132112147041
3, 7, 1246.455525995526, 1299.2186818581197
3, 8, 1241.7439658757116, 1298.9040513935215
3, 9, 1243.740136147508, 1305.297151320534
4, 1, 1261.1505007928756, 1291.9290083793887
4, 2, 1256.1277916875372, 1291.3032289292664
4, 3, 1254.525369328996, 1294.0977362259414
4, 4, 1254.9793705682437, 1298.9486671204052
4, 5, 1252.5580098058344, 1300.924236013212
4, 6, 1262.611581162635, 1315.3747370252288
4, 7, 1244.0455572304438, 1301.2056427482537
4, 8, 1244.9888501879136, 1306.5458653609396
4, 9, 1228.6189943003267, 1294.5729391285688
5, 1, 1261.5107516460785, 1296.6861888878077
5, 2, 1253.5524792204922, 1293.1248461174375
5, 3, 1264.8544236492803, 1308.8237202014418
5, 4, 1265.2275477906521, 1313.5937739980297
5, 5, 1249.0387890241773, 1301.801944886771
5, 6, 1245.8580804635067, 1303.0181659813165
5, 7, 1227.05272509002, 1288.609740263046
5, 8, 1242.367613064846, 1308.321557893088
5, 9, 1231.6828464305813, 1302.0337209140396
6, 1, 1261.9846039071015, 1301.5569708040468
6, 2, 1255.5469506104869, 1299.5162471626484
6, 3, 1244.094259352943, 1292.4604855603206
6, 4, 1241.9984122665983, 1294.761568129192
6, 5, 1246.8244667912866, 1303.9845523090964
6, 6, 1232.1195825881268, 1293.6765977611528
6, 7, 1228.4689409173443, 1294.4228857455864
6, 8, 1227.3733629040853, 1297.7242373875436
6, 9, 1229.5403410010936, 1304.288145139768
7, 1, 1262.5141832134907, 1306.4834797656522
7, 2, 1251.1535097606434, 1299.519735968021
7, 3, 1263.4201146126834, 1316.1832704752771
7, 4, 1242.8098020776592, 1299.9698875954691
7, 5, 1242.7370198778049, 1304.2940350508309
7, 6, 1233.9730706555024, 1299.9270154837445
7, 7, 1217.4358636848574, 1287.7867381683157
7, 8, 1226.0528702489328, 1300.8006743876072
7, 9, 1233.3174711008169, 1312.4622048947076
8, 1, 1260.5643372981085, 1308.9305635054861
8, 2, 1232.7424340689677, 1285.5055899315614
8, 3, 1229.3663774159088, 1286.5264629337187
8, 4, 1227.4620124951964, 1289.0190276682224
8, 5, 1230.4537109587266, 1296.4076557869687
8, 6, 1228.4831244431132, 1298.8339989265714
8, 7, 1218.9751246401681, 1293.7229287788425
8, 8, 1231.3782806018612, 1310.523014395752
8, 9, 1234.9845571520157, 1318.5262206011225
9, 1, 1261.4037411505583, 1314.166897013152
9, 2, 1233.3404111128089, 1290.5004966306187
9, 3, 1231.7330491994162, 1293.2900643724422
9, 4, 1222.1295547973384, 1288.0834996255805
9, 5, 1226.821268221047, 1297.1721427045052
9, 6, 1220.8575313411188, 1295.6053354797932
9, 7, 1223.3000502799114, 1302.444784073802
9, 8, 1225.4046707615285, 1308.9463342106353
9, 9, 1225.3916791895927, 1313.3302722939156
